votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,total_area,pop_density,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_young,age_adult,age_old,ethnic_male,ethnic_female
4062,0.084,-1.0888355169006332,-0.9562271197537746,0.205,0.06451994791,0.08065494239,-0.28623520712124323,-0.16647854006268298,-0.14312695537972758,0.971882196,0.002908738,0.00896861,0.000605987,0.007514241,0.00492303963,0,Oscoda County,MI,Uneducated,OTHER MISC,0.24615198300000002,0.291237425,0.370015756,MULTI MALE RATE,NATIVE AMERICAN FEMALE RATE
35727,0.067,0.35141742674998677,0.6201237465390546,0.157,0.07142489844,0.1014712,0.059908007734593094,0.18602463939457817,-0.11286291735960303,0.90665266,0.009569457,0.027756348,0.003061241,0.014731711,0.0029321438500000004,1,Skagit County,WA,Educated,MAINLINE CHRISTIAN,0.307388014,0.358091361,0.27185956,MULTI MALE RATE,NATIVE AMERICAN FEMALE RATE
4858,0.042,0.0968514787878594,-0.09096186734223284,0.135,0.04020841526,0.04537671233,-0.2802530532985807,-0.1642985122426737,-0.14150359701849485,0.980025583,0.006198957,0.002164715,0.0,0.004034242,0.0047800846200000005,0,Keokuk County,IA,Uneducated,MAINLINE CHRISTIAN,0.298632294,0.338089148,0.297746728,MULTI MALE RATE,BLACK FEMALE RATE
65187,0.038,0.25195564195023384,-0.46650066835847265,0.139,0.08010136568,0.1308670143,0.3177960692141845,-0.19356159551006485,0.09527481538416552,0.894959553,0.062961361,0.005804181,0.000771597,0.011598533,0.0032037017,0,Elkhart County,IN,Uneducated,CATHOLIC,0.369944072,0.378082704,0.20905865199999998,BLACK MALE RATE,BLACK FEMALE RATE
14955,0.057999999999999996,0.2275655949710758,-0.21321807673425486,0.165,0.056462102400000005,0.09821677346999999,-0.19016904263395365,-0.16480561703533772,-0.11303684861259226,0.945520936,0.035581972,0.002345478,0.000239878,0.006609984,0.00398598044,0,Greene County,PA,Uneducated,MAINLINE CHRISTIAN,0.285828514,0.389642581,0.260321436,BLACK MALE RATE,BLACK FEMALE RATE
1149,0.052000000000000005,-1.059815494901703,-1.4085926348499365,0.348,0.19988137600000003,0.2829875519,-0.3028899581967372,-0.0046964275494739485,-0.15031611383661544,0.346771838,0.005842828,0.584282793,0.000584283,0.02512416,0.00335670465,0,Bennett County,SD,Educated,MAINLINE CHRISTIAN,0.44756061999999996,0.323984808,0.197195443,WHITE MALE RATE,WHITE FEMALE RATE
6393,0.061,-0.24353436329076303,-0.2835548629124483,0.174,0.060382443529999996,0.07692307692,-0.25974874946921944,-0.20248820822629007,-0.12921245514058985,0.906391023,0.053482132,0.006342237,0.000731797,0.013965118,0.00389864618,0,Atchison County,KS,Educated,MAINLINE CHRISTIAN,0.37004512700000003,0.334492012,0.24405415400000002,BLACK MALE RATE,BLACK FEMALE RATE
36730,0.055999999999999994,0.17274999786198506,0.4992707648014603,0.139,0.05793725793,0.1039453246,-0.06741499040868208,-0.1522560803880179,0.02564433710414711,0.870443415,0.089080079,0.003639974,0.000622105,0.01393779,0.0048616810100000005,0,Erie County,OH,Educated,MAINLINE CHRISTIAN,0.284526803,0.353249504,0.289053608,BLACK MALE RATE,BLACK FEMALE RATE
17400,0.043,0.0703944786748744,-0.21128863870941664,0.134,0.04530318717,0.05419338614,-0.17015072885325339,-0.23282039386584408,-0.06955403536528686,0.88737376,0.07801308,0.005361036,0.000600614,0.006873693,0.0038706233000000002,0,Union County,PA,Uneducated,CATHOLIC,0.303243316,0.40419094999999994,0.23479556799999998,BLACK MALE RATE,BLACK FEMALE RATE
37342,0.033,3.2029859701776493,2.568505344712054,0.04,0.030327826930000003,0.032184063150000004,-0.13516583995556575,-0.30710340416443477,0.8289168404927023,0.887881349,0.014646892,0.008606778,0.001244909,0.012710367,0.00573918389,1,Broomfield County,CO,Educated,MAINLINE CHRISTIAN,0.31582264000000004,0.43842311700000003,0.19675708799999997,ASIAN MALE RATE,BLACK FEMALE RATE
